Название компании;Рачетный счет;Бюджет
"ООО ""Эффин групп""";74 832 648 573 649 500 000;5384000
"ООО ""Вентарт групп""";23 174 593 524 386 400 000;1250000
"ООО ""Астэк с""";75 820 573 957 385 900 000;348000
"ООО ""Аргон""";47 897 543 589 753 500 000;651000
"ООО ""Агросоюз""";46 895 716 385 938 200 000;29321000
"ООО ""СтройСар""";74 839 472 859 375 700 000;11122000
"ООО ""Стройинтерсервис""";45 364 758 690 173 500 000;2931000
"ООО ""Гамма 2004""";56 378 596 017 364 300 000;1867000
"ООО ""Гермес трейд""";35 468 192 746 351 900 000;4760000
"ООО ""Феникс 2010""";34 789 174 527 462 500 000;1122000
