Название компании;Расчетный счет;Бюджет
ООО "Контакт"";23 454 352 345 324 500 000;17261654
ООО "Конвент 2000"";56 385 937 650 184 700 000;3648071
ООО "ЗиЛ"";24 464 562 462 456 000 000;887829
ООО "Менеджмент инвест"";57 389 587 365 893 000 000;5334240
ООО "СтройСар"";74 839 472 859 375 700 000;7272982
ООО "РетнНет"";64 345 234 524 352 400 000;56113100
ООО "Эффин групп"";74 832 648 573 649 500 000;5154000
ООО "Вентарт групп"";23 174 593 524 386 400 000;1250000
ООО "Агросоюз"";46 895 716 385 938 200 000;25380806
ООО "Гермес трейд"";35 468 192 746 351 900 000;4818386
ООО "Стройинтерсервис"";45 364 758 690 173 500 000;3876678
ООО "Центргазстрой"";67 395 565 934 357 500 000;1071092
ООО "ГазПриборАвтоматикаСервис"";45 723 254 352 345 400 000;8493294
ООО "Феникс 2010"";34 789 174 527 462 500 000;2302000
ООО "Гамма 2004"";56 378 596 017 364 300 000;1773340
ООО "Нефтесклад 1"";23 452 462 546 465 200 000;4859174
ООО "Астэк с"";75 820 573 957 385 900 000;327417
ООО "Аргон"";47 897 543 589 753 500 000;651000
ООО "Сют"";52 304 958 323 452 300 000;5243142
ООО "Газсервисплюс"";23 265 624 562 456 200 000;6757482
